type,dateCreated,username,givenName,description,location,id,follows,friends,tweets
ProfilePage,2022-09-25T21:30:50.000Z,embedded_house,Embedded House,"Embedded House is an automated news aggregator where you can find all data related to #embedded #systems , #security , #IoT and #electronics collected here.",,1574149382416515074,268,49,40102
ProfilePage,2022-09-25T21:30:50.000Z,embedded_house,Embedded House,"Embedded House is an automated news aggregator where you can find all data related to #embedded #systems , #security , #IoT and #electronics collected here.",,1574149382416515074,268,49,40102
ProfilePage,2022-09-25T21:30:50.000Z,embedded_house,Embedded House,"Embedded House is an automated news aggregator where you can find all data related to #embedded #systems , #security , #IoT and #electronics collected here.",,1574149382416515074,268,49,40102
ProfilePage,2022-08-18T15:10:16.000Z,LouiseBEisenha2,Louise B Eisenhardt,,,1560282845385560064,29,230,24508
ProfilePage,2022-08-18T15:10:16.000Z,LouiseBEisenha2,Louise B Eisenhardt,,,1560282845385560064,29,230,24508
ProfilePage,2022-09-25T21:30:50.000Z,embedded_house,Embedded House,"Embedded House is an automated news aggregator where you can find all data related to #embedded #systems , #security , #IoT and #electronics collected here.",,1574149382416515074,268,49,40102
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-08-18T15:10:16.000Z,LouiseBEisenha2,Louise B Eisenhardt,,,1560282845385560064,29,230,24508
ProfilePage,2019-09-09T18:38:33.000Z,SCPS_MD,Somerset County Public Schools,"Official Twitter account for Somerset County Public Schools
Third Party Content Policy: https://t.co/JttDasxa6F","Westover, MD",1171130735475847169,177,135,108
ProfilePage,2019-09-09T18:38:33.000Z,SCPS_MD,Somerset County Public Schools,"Official Twitter account for Somerset County Public Schools
Third Party Content Policy: https://t.co/JttDasxa6F","Westover, MD",1171130735475847169,177,135,108
ProfilePage,2022-09-25T21:30:50.000Z,embedded_house,Embedded House,"Embedded House is an automated news aggregator where you can find all data related to #embedded #systems , #security , #IoT and #electronics collected here.",,1574149382416515074,268,49,40102
ProfilePage,2022-09-07T22:59:23.000Z,JpgpicsCom,JPG Pics,"News aggregator for Photography, Design and infographics News",,1567648707415363586,42,6,23731
ProfilePage,2022-08-18T15:10:16.000Z,LouiseBEisenha2,Louise B Eisenhardt,,,1560282845385560064,29,230,24508
ProfilePage,2019-09-09T18:38:33.000Z,SCPS_MD,Somerset County Public Schools,"Official Twitter account for Somerset County Public Schools
Third Party Content Policy: https://t.co/JttDasxa6F","Westover, MD",1171130735475847169,177,135,108
ProfilePage,2019-09-09T18:38:33.000Z,SCPS_MD,Somerset County Public Schools,"Official Twitter account for Somerset County Public Schools
Third Party Content Policy: https://t.co/JttDasxa6F","Westover, MD",1171130735475847169,177,135,108
ProfilePage,2019-09-09T18:38:33.000Z,SCPS_MD,Somerset County Public Schools,"Official Twitter account for Somerset County Public Schools
Third Party Content Policy: https://t.co/JttDasxa6F","Westover, MD",1171130735475847169,177,135,108
ProfilePage,2019-09-09T18:38:33.000Z,SCPS_MD,Somerset County Public Schools,"Official Twitter account for Somerset County Public Schools
Third Party Content Policy: https://t.co/JttDasxa6F","Westover, MD",1171130735475847169,177,135,108
ProfilePage,2019-09-09T18:38:33.000Z,SCPS_MD,Somerset County Public Schools,"Official Twitter account for Somerset County Public Schools
Third Party Content Policy: https://t.co/JttDasxa6F","Westover, MD",1171130735475847169,177,135,108
ProfilePage,2019-09-09T18:38:33.000Z,SCPS_MD,Somerset County Public Schools,"Official Twitter account for Somerset County Public Schools
Third Party Content Policy: https://t.co/JttDasxa6F","Westover, MD",1171130735475847169,177,135,108
ProfilePage,2019-09-09T18:38:33.000Z,SCPS_MD,Somerset County Public Schools,"Official Twitter account for Somerset County Public Schools
Third Party Content Policy: https://t.co/JttDasxa6F","Westover, MD",1171130735475847169,177,135,108
ProfilePage,2019-09-09T18:38:33.000Z,SCPS_MD,Somerset County Public Schools,"Official Twitter account for Somerset County Public Schools
Third Party Content Policy: https://t.co/JttDasxa6F","Westover, MD",1171130735475847169,177,135,108
